names,labels
Lochana ,girl
Lekisha ,girl
Lilavati ,girl
Lavani ,girl
Lajvati ,girl
Laranya ,girl
Lajja ,girl
Lalitamohana ,girl
Lipika ,girl
Lucia ,girl
Labangalata ,girl
Lajjawati ,girl
Lunasha ,girl
Ladli ,girl
Lopa ,girl
Laabha ,girl
Lajvanti ,girl
Leelamayee ,girl
Laboni ,girl
Ladhi ,girl
Lalan ,girl
Labuki ,girl
Lalasa ,girl
Lokajanani ,girl
Lalita ,girl
Laharika ,girl
Lolaksi ,girl
Lasaki ,girl
Lakshmishree ,girl
Lajita ,girl
Lakshya ,girl
Laalamani ,girl
Lavenia ,girl
Lakshana ,girl
Lavanya ,girl
Libni ,girl
Latika ,girl
Lakhi ,girl
Lalima ,girl
Lekha ,girl
Lavangi ,girl
Lokamatri ,girl
Lalana ,girl
Lona ,girl
Laghima ,girl
Lakshita ,girl
Latangi ,girl
Leelavati ,girl
Lumbika ,girl
Lolita ,girl
Laasya ,girl
Loukya ,girl
Lakshaki ,girl
Lilly ,girl
Lajwati ,girl
Laxmi ,girl
Leora ,girl
Lohini ,girl
Lali ,girl
Lavali ,girl
Lajwanti ,girl
Maina ,girl
Manju ,girl
Mangala ,girl
Mamata ,girl
Manjushri ,girl
Mandakini ,girl
Manasa ,girl
Mahijuba ,girl
Manasvi ,girl
Maliha ,girl
Manjusri ,girl
Maniratna ,girl
Mahati ,girl
Manisha ,girl
Manimekhala ,girl
Mallika ,girl
Malati ,girl
Manini ,girl
Manana ,girl
Manna ,girl
Mahasweta ,girl
Maitry ,girl
Mandarmalika ,girl
Malavika ,girl
Manikuntala ,girl
Malini ,girl
Mansi ,girl
Makali ,girl
Manshree,girl
Madhvi ,girl
Manasvini ,girl
Madhul ,girl
Manushri ,girl
Mandira ,girl
Mandavi ,girl
Manjistha ,girl
Mahakanta ,girl
Mana ,girl
Madhu ,girl
Mandodari ,girl
Magadhi ,girl
Manorama ,girl
Manoranjana ,girl
Madhuchanda ,girl
Maghi ,girl
Manjari ,girl
Mantra ,girl
Mahadevi ,girl
Manjulika ,girl
Madhura ,girl
Manika ,girl
Manda ,girl
Maanika ,girl
Manavi ,girl
Madhulekha ,girl
Maheshi ,girl
Mahita ,girl
Manjula ,girl
Maheshwari ,girl
Manasi ,girl
Madhubala ,girl
Malina ,girl
Madirakshi ,girl
Madhushri ,girl
Madhur ,girl
Magana ,girl
Manjubala ,girl
Manya ,girl
Mahabhadra ,girl
Madhureema ,girl
Makshi ,girl
Madhavilata ,girl
Manjira ,girl
Manimala ,girl
Manushi ,girl
Madhuvanthi ,girl
Madhavi ,girl
Madhumitha ,girl
Mandakranta ,girl
Mahua ,girl
Malti ,girl
Mahika ,girl
Malli ,girl
Mahaniya ,girl
Malka ,girl
Malika ,girl
Madhurima ,girl
Madhulika ,girl
Mandara ,girl
Mahamaya ,girl
Maitreyi ,girl
Madhunisha ,girl
Mahi ,girl
Madhuksara ,girl
Mahasri ,girl
Manjubhargavi ,girl
Manjyot ,girl
Mamta ,girl
Mahima ,girl
Maitreya ,girl
Mala ,girl
Mani ,girl
Maithili ,girl
Malvika ,girl
Mahalakshmi ,girl
Madhumathi ,girl
Madhumalati ,girl
Manmayi ,girl
Malashree ,girl
Mandeepa ,girl
Mahiya ,girl
Mahagauri ,girl
Madhupriya ,girl
Manishika ,girl
Mahakali ,girl
Malaya ,girl
Madhuri ,girl
Manideepa ,girl
Manali ,girl
Madhulata ,girl
Manjusha ,girl
Namasya ,girl
Nakula ,girl
Navisha ,girl
Nachni ,girl
Nartan ,girl
Nandika ,girl
Nabah ,girl
Neeti ,girl
Neelanjana ,girl
Namita ,girl
Namrah ,girl
Nehal ,girl
Navika ,girl
Nalika ,girl
Nayana ,girl
Narmada ,girl
Nakti ,girl
Neelja,girl
Neelima ,girl
Naija ,girl
Nayantara ,girl
Nami ,girl
Neelisha ,girl
Namuchi ,girl
Narayani ,girl
Nakshatra ,girl
Navaneeta ,girl
Nadira ,girl
Navya ,girl
Navistha ,girl
Naomika,girl
Naomi,girl
Navadurga ,girl
Nainika ,girl
Natasha ,girl
Neepa ,girl
Navdeep ,girl
Natali ,girl
Neelabja ,girl
Nandini ,girl
Nagashree,girl
Neharika ,girl
Nagalata ,girl
Nagini ,girl
Neelakshi ,girl
Neeta ,girl
Nandi ,girl
Nabhi ,girl
Neena ,girl
Nalini ,girl
Navneeta ,girl
Namana ,girl
Nanda ,girl
Neela ,girl
Nanaki ,girl
Neeharika ,girl
Nagina ,girl
Netravati ,girl
Neeraja ,girl
Neha ,girl
Naina ,girl
Namrata ,girl
Navita ,girl
Nayonika ,girl
Naidhrua ,girl
Naishadha ,girl
Nandana ,girl
Neelam ,girl
Naisha ,girl
Nabanipa ,girl
Naveena ,girl
Neelaja ,girl
Nadia ,girl
Netra ,girl
Neelkamala ,girl
Nandita ,girl
Omkareshwari ,girl
Oni ,girl
Ojal ,girl
Oviya ,girl
Omaja ,girl
Omana ,girl
Omkari ,girl
Onella ,girl
Ojaswini ,girl
Oja ,girl
Oindrila ,girl
Oditi ,girl
Oma ,girl
Orpita ,girl
Ojasvi ,girl
Omisha ,girl
Pranaya ,girl
Padmakali ,girl
Pameela ,girl
Pankhudi,girl
Prajakta ,girl
Prarthana ,girl
Pia ,girl
Pradeepta ,girl
Patralekha ,girl
Poorbi ,girl
Prashansa ,girl
Pampa ,girl
Phoolan ,girl
Piyali ,girl
Padmalochana ,girl
Parajika ,girl
Pragalbha ,girl
Pranavi ,girl
Padmamalini ,girl
Padmarekha ,girl
Pavana ,girl
Prasheila ,girl
Parveen ,girl
Parbarti ,girl
Piki ,girl
Prama ,girl
Pranjali ,girl
Pooja ,girl
Parnika ,girl
Parvani ,girl
Parnal ,girl
Palomi ,girl
Prakriti ,girl
Pramada ,girl
Poushali ,girl
Padmajai ,girl
Parvini ,girl
Pankajadharini ,girl
Patmanjari ,girl
Pankaja ,girl
Pavitra ,girl
Pasha ,girl
Padmapriya ,girl
Pinakini ,girl
Pankti ,girl
Paravi ,girl
Parnita ,girl
Pamela ,girl
Padma ,girl
Prapti ,girl
Poorvi ,girl
Pramiti ,girl
Pakhi ,girl
Poorvaganga ,girl
Padmavasa ,girl
Pakshalika ,girl
Prashanthi ,girl
Parameshwari ,girl
Padmagriha ,girl
Pallavi ,girl
Poornakamala ,girl
Payal ,girl
Parina ,girl
Pracheeta ,girl
Parnakshi ,girl
Parvati ,girl
Prafula ,girl
Parthavi ,girl
Phutika,girl
Palak ,girl
Pival ,girl
Prachi ,girl
Panna ,girl
Pradnya ,girl
Pallavini ,girl
Poorva ,girl
Pariyat ,girl
Pramila ,girl
Pashupriya ,girl
Phiroza ,girl
Padnuni ,girl
Pavi ,girl
Pranati ,girl
Parivita ,girl
Paramita ,girl
Poorna ,girl
Poornima ,girl
Pranauthi ,girl
Pavani ,girl
Padmaja ,girl
Panini ,girl
Pingla ,girl
Pranita / Pranitha ,girl
Prakalpa ,girl
Pragya ,girl
Pranidhi ,girl
Pivari ,girl
Pranali ,girl
Pahal ,girl
Poonam ,girl
Pauravi,girl
Parni ,girl
Padmashri ,girl
Pehr ,girl
Payoja ,girl
Prabhavati ,girl
Pragnya ,girl
Paulomi ,girl
Padmal ,girl
Parama ,girl
Parnavi ,girl
Parthivi ,girl
Prabhati ,girl
Prabhada ,girl
Pragati ,girl
Padmini ,girl
Parmila,girl
Padmavati ,girl
Pankita,girl
Pinga ,girl
Pragyawati ,girl
Paola,girl
Prakhya ,girl
Parul ,girl
Pragyaparamita ,girl
Pavaki ,girl
Padmalaya ,girl
Padmakshi ,girl
Prabha ,girl
Pari ,girl
Prajna ,girl
Parnashri ,girl
Pranvuta ,girl
Panchali ,girl
Paulmi,girl
Paridhi ,girl
Parmita ,girl
Panita ,girl
Poorvaja ,girl
Pankhadi ,girl
Palaksi ,girl
Patala ,girl
Pranjal ,girl
Parinita ,girl
Prasheetha ,girl
Raakhi ,girl
Rishma,girl
Raka ,girl
Rameshwari ,girl
Ratnamala ,girl
Ratnavali ,girl
Ratnalekha ,girl
Ratna ,girl
Rangat ,girl
Ritika ,girl
Rajata ,girl
Ranita ,girl
Rebha ,girl
Rashmi ,girl
Revathi ,girl
Rajkumari ,girl
Raji ,girl
Rakshasamardini ,girl
Rajika ,girl
Richa ,girl
Rheeya,girl
Raaka ,girl
Richitha,girl
Riju/ Rijul ,girl
Raveena ,girl
Rajul ,girl
Reva ,girl
Rahela,girl
Rekha ,girl
Renu ,girl
Renuka ,girl
Ranjini ,girl
Rachika ,girl
Ragi ,girl
Rithika ,girl
Rajshri ,girl
Rashmika ,girl
Rishika ,girl
Radhika ,girl
Ratnajyoti ,girl
Rachita ,girl
Raja ,girl
Ratri ,girl
Rambha ,girl
Ranhita ,girl
Rhea ,girl
Rakshita ,girl
Rajeshwari ,girl
Ridhima ,girl
Rani ,girl
Ratnabala ,girl
Rita ,girl
Rajalakshmi ,girl
Rama ,girl
Rajeshri ,girl
Rishima ,girl
Raga ,girl
Rasna ,girl
Ranjana ,girl
Reema ,girl
Ranjita ,girl
Ritsika ,girl
Ramya ,girl
Rima ,girl
"Ria, Rhia ",girl
Rabhya ,girl
Raima ,girl
Ramra ,girl
Resham ,girl
Radha ,girl
Riya ,girl
Rasika ,girl
Ramita ,girl
Rina ,girl
Rishita ,girl
Ratnaprabha ,girl
Reman,girl
Raya ,girl
Ramola ,girl
Reneeka ,girl
Reshma ,girl
Rashi ,girl
Riddhi ,girl
Reena ,girl
Ranya ,girl
Rajnandini ,girl
Rangana ,girl
Rajni ,girl
Rakti ,girl
Reshika,girl
Ratchika ,girl
Rishmitha,girl
Rakhi ,girl
Ratnapriya ,girl
Ratnangi ,girl
Rajashri ,girl
Ramani ,girl
Revati ,girl
Rajanigandha ,girl
Raksha ,girl
Ratanjali ,girl
Riti ,girl
